Date,SampleID ,Sample,Weight_g,Temperature_C,Notes
4/30/26,PC-225-A1,Dry plug,2.0272,26.022,
4/30/26,PC-225-A2,Dry plug,2.3709,26.022,
4/30/26,PC-225-A3,Dry plug,2.4809,26.022,
4/30/26,PC-225-H1,Dry plug,2.4915,26.022,
4/30/26,PC-225-H2,Dry plug,2.4851,26.022,
4/30/26,PC-225-H3,Dry plug,2.2243,26.022,
4/30/26,PC-226-A1,Dry plug,2.4577,26.022,
4/30/26,PC-226-A2,Dry plug,2.5521,26.022,
4/30/26,PC-226-A3,Dry plug,2.5333,26.022,
4/30/26,PC-226-H1,Dry plug,2.4762,26.022,
4/30/26,PC-226-H2,Dry plug,2.3851,26.022,
4/30/26,PC-226-H3,Dry plug,2.3014,26.022,
4/30/26,PC-233-A1,Dry plug,2.2974,26.022,
4/30/26,PC-233-A2,Dry plug,2.6039,26.022,
4/30/26,PC-233-A3,Dry plug,2.5188,26.022,
4/30/26,PC-233-H1,Dry plug,2.2508,26.022,
4/30/26,PC-233-H2,Dry plug,2.55,26.022,
4/30/26,PC-233-H3,Dry plug,2.6058,26.022,
4/30/26,PC-234-A1,Dry plug,2.429,26.022,
4/30/26,PC-234-A2,Dry plug,2.814,26.022,
4/30/26,PC-234-A3,Dry plug,2.4814,26.022,
4/30/26,PC-234-H1,Dry plug,2.2594,26.022,
4/30/26,PC-234-H2,Dry plug,2.5398,26.022,
4/30/26,PC-234-H3,Dry plug,2.4304,26.022,
4/30/26,PC-235-A1,Dry plug,2.2256,26.022,
4/30/26,PC-235-A2,Dry plug,2.3843,26.022,
4/30/26,PC-235-A3,Dry plug,2.3053,26.022,
4/30/26,PC-235-H1,Dry plug,2.448,26.022,
4/30/26,PC-235-H2,Dry plug,2.3171,26.022,
4/30/26,PC-235-H3,Dry plug,2.2066,26.022,
4/30/26,PC-236-A1,Dry plug,2.339,26.022,
4/30/26,PC-236-A2,Dry plug,2.2734,26.022,
4/30/26,PC-236-A3,Dry plug,2.3358,26.022,
4/30/26,PC-236-H1,Dry plug,2.3227,26.022,
4/30/26,PC-236-H2,Dry plug,2.5195,26.022,
4/30/26,PC-236-H3,Dry plug,2.4064,26.022,
4/30/26,PC-237-A1,Dry plug,2.4245,26.022,
4/30/26,PC-237-A2,Dry plug,2.4093,26.022,
4/30/26,PC-237-A3,Dry plug,2.4728,26.022,
4/30/26,PC-237-H1,Dry plug,2.316,26.022,
4/30/26,PC-237-H2,Dry plug,2.4276,26.022,
4/30/26,PC-237-H3,Dry plug,2.4238,26.022,
4/30/26,PC-238-A1,Dry plug,2.33,26.022,
4/30/26,PC-238-A2,Dry plug,2.3777,26.022,
4/30/26,PC-238-A3,Dry plug,2.315,26.022,
4/30/26,PC-238-H1,Dry plug,2.2722,26.022,
4/30/26,PC-238-H2,Dry plug,2.2835,26.022,
4/30/26,PC-238-H3,Dry plug,2.1929,26.022,
4/30/26,PC-239-A1,Dry plug,2.4432,26.022,
4/30/26,PC-239-A2,Dry plug,2.5591,26.022,
4/30/26,PC-239-A3,Dry plug,2.1066,26.022,
4/30/26,PC-239-H1,Dry plug,2.3875,26.022,
4/30/26,PC-239-H2,Dry plug,2.3286,26.022,
4/30/26,PC-239-H3,Dry plug,2.4664,26.022,
4/30/26,PC-240-A1,Dry plug,2.2425,26.022,
4/30/26,PC-240-A2,Dry plug,2.3052,26.022,
4/30/26,PC-240-A3,Dry plug,2.4455,26.022,
4/30/26,PC-240-H1,Dry plug,2.3788,26.022,
4/30/26,PC-240-H2,Dry plug,2.3149,26.022,
4/30/26,PC-240-H3,Dry plug,2.4222,26.022,
4/30/26,PC-241-A1,Dry plug,2.3724,26.022,
4/30/26,PC-241-A2,Dry plug,2.1706,26.022,
4/30/26,PC-241-A3,Dry plug,2.4789,26.022,
4/30/26,PC-241-H1,Dry plug,2.411,26.022,
4/30/26,PC-241-H2,Dry plug,2.2167,26.022,
4/30/26,PC-241-H3,Dry plug,2.2969,26.022,
4/30/26,PC-242-A1,Dry plug,2.3043,26.022,
4/30/26,PC-242-A2,Dry plug,2.5309,26.022,
4/30/26,PC-242-A3,Dry plug,2.2598,26.022,
4/30/26,PC-242-H1,Dry plug,2.2988,26.022,
4/30/26,PC-242-H2,Dry plug,2.428,26.022,
4/30/26,PC-242-H3,Dry plug,2.331,26.022,
4/30/26,PC-243-A1,Dry plug,2.3669,26.022,
4/30/26,PC-243-A2,Dry plug,2.3505,26.022,
4/30/26,PC-243-A3,Dry plug,2.4795,26.022,
4/30/26,PC-243-H1,Dry plug,2.2263,26.022,
4/30/26,PC-243-H2,Dry plug,2.0864,26.022,
4/30/26,PC-243-H3,Dry plug,2.193,26.022,
4/30/26,PC-244-A1,Dry plug,2.2405,26.022,
4/30/26,PC-244-A2,Dry plug,2.3422,26.022,
4/30/26,PC-244-A3,Dry plug,2.1645,26.022,
4/30/26,PC-244-H1,Dry plug,2.2424,26.022,
4/30/26,PC-244-H2,Dry plug,2.329,26.022,
4/30/26,PC-244-H3,Dry plug,2.5383,26.022,
4/30/26,PC-247-A1,Dry plug,2.578,26.022,
